Data,Contatto Connettore Interno,Cavo Connettore Interno,Contatto Connettore Esterno,Cavo Splitter,Tamb Interna,Tamb Esterna
2022-04-14 10:15:06.004400,24.465,24.45,24.217,24.376,24.633,25.684
2022-04-14 10:15:16.794400,24.476,24.466,24.196,24.394,24.622,25.541
2022-04-14 10:15:29.365400,24.479,24.49,24.22,24.426,24.62,25.455
2022-04-14 10:15:39.721400,24.51,24.492,24.228,24.426,24.62,25.395
2022-04-14 10:15:50.077400,24.515,24.495,24.228,24.46,24.635,25.332
2022-04-14 10:16:00.433400,24.526,24.516,24.238,24.483,24.669,25.279
2022-04-14 10:16:10.789400,24.49,24.478,24.197,24.427,24.632,25.231
2022-04-14 10:16:21.146400,24.492,24.469,24.182,24.426,24.634,25.142
2022-04-14 10:16:31.501400,24.433,24.418,24.155,24.396,24.598,25.101
2022-04-14 10:16:41.856400,24.449,24.441,24.147,24.396,24.606,25.061
2022-04-14 10:16:52.212400,24.436,24.457,24.14,24.422,24.609,25.034
2022-04-14 10:17:03.789400,24.454,24.431,24.161,24.422,24.622,24.986
2022-04-14 10:17:14.152400,24.462,24.454,24.134,24.425,24.622,24.957
2022-04-14 10:17:24.508400,24.477,24.436,24.168,24.438,24.616,24.872
2022-04-14 10:17:34.864400,24.483,24.462,24.158,24.436,24.614,24.839
2022-04-14 10:17:45.219400,24.48,24.483,24.158,24.438,24.614,24.828
2022-04-14 10:17:55.574400,24.48,24.478,24.155,24.441,24.616,24.779
2022-04-14 10:18:05.940400,24.488,24.46,24.15,24.443,24.609,24.747
2022-04-14 10:18:16.297400,24.504,24.473,24.161,24.459,24.614,24.706
2022-04-14 10:18:26.651400,24.512,24.473,24.163,24.457,24.609,24.689
2022-04-14 10:18:37.008400,24.506,24.457,24.168,24.457,24.616,24.64
2022-04-14 10:18:48.597400,24.527,24.483,24.137,24.483,24.593,24.593
2022-04-14 10:18:58.952400,24.509,24.477,24.164,24.481,24.603,24.58
2022-04-14 10:19:09.307400,24.491,24.468,24.138,24.45,24.598,24.533
2022-04-14 10:19:19.662400,24.431,24.411,24.078,24.41,24.517,24.513
2022-04-14 10:19:30.018400,24.421,24.399,24.063,24.417,24.516,24.458
2022-04-14 10:19:40.375400,24.432,24.385,24.044,24.41,24.504,24.455
2022-04-14 10:19:50.729400,24.426,24.391,24.048,24.399,24.495,24.419
2022-04-14 10:20:01.085400,24.432,24.411,24.036,24.392,24.502,24.358
2022-04-14 10:20:11.441400,24.455,24.407,24.053,24.415,24.5,24.297
2022-04-14 10:20:21.796400,24.442,24.422,24.043,24.397,24.511,24.22
2022-04-14 10:20:33.513400,24.46,24.412,24.041,24.394,24.477,24.136
2022-04-14 10:20:43.868400,24.463,24.42,24.038,24.397,24.487,24.1
2022-04-14 10:20:54.222400,24.47,24.421,24.028,24.415,24.46,24.138
2022-04-14 10:21:04.578400,24.468,24.405,24.02,24.4,24.465,24.098
2022-04-14 10:21:14.934400,24.452,24.391,24.017,24.384,24.445,24.101
2022-04-14 10:21:25.289400,24.473,24.411,24.017,24.4,24.449,24.115
2022-04-14 10:21:35.647400,24.463,24.413,24.017,24.41,24.46,24.12
2022-04-14 10:21:46.002400,24.476,24.403,23.999,24.386,24.436,24.084
2022-04-14 10:21:56.359400,24.46,24.405,24.004,24.4,24.42,24.047
2022-04-14 10:22:06.714400,24.447,24.395,24.004,24.384,24.412,24.066
2022-04-14 10:22:18.311400,24.442,24.4,23.983,24.402,24.42,24.067
2022-04-14 10:22:28.666400,24.45,24.384,23.99,24.38,24.405,24.049
2022-04-14 10:22:39.022400,24.367,24.321,23.911,24.313,24.338,24.036
2022-04-14 10:22:49.377400,24.361,24.311,23.911,24.307,24.315,24.042
2022-04-14 10:22:59.732400,24.304,24.281,23.884,24.275,24.331,24.022
2022-04-14 10:23:10.087400,24.315,24.268,23.9,24.293,24.315,24.001
2022-04-14 10:23:20.442400,24.312,24.289,23.879,24.29,24.307,23.978
2022-04-14 10:23:30.802400,24.312,24.27,23.879,24.29,24.328,23.95
2022-04-14 10:23:41.157400,24.317,24.27,23.862,24.275,24.304,23.98
2022-04-14 10:23:51.511400,24.307,24.27,23.884,24.277,24.294,23.965
2022-04-14 10:24:03.293400,24.301,24.273,23.876,24.264,24.283,23.991
2022-04-14 10:24:13.648400,24.294,24.252,23.876,24.277,24.294,23.979
2022-04-14 10:24:24.003400,24.307,24.265,23.887,24.275,24.294,23.923
2022-04-14 10:24:34.357400,24.299,24.249,23.87,24.264,24.286,23.907
2022-04-14 10:24:44.712400,24.278,24.247,23.87,24.28,24.286,23.9
2022-04-14 10:24:55.067400,24.299,24.247,23.889,24.277,24.297,23.9
2022-04-14 10:25:05.422400,24.288,24.244,23.879,24.29,24.294,23.884
2022-04-14 10:25:15.777400,24.299,24.247,23.884,24.269,24.302,23.873
2022-04-14 10:25:26.133400,24.299,24.241,23.876,24.264,24.281,23.86
2022-04-14 10:25:36.488400,24.283,24.241,23.884,24.254,24.278,23.901
2022-04-14 10:25:48.136400,24.286,24.247,23.879,24.28,24.297,23.902
2022-04-14 10:25:58.493400,24.26,24.228,23.857,24.255,24.28,23.872
2022-04-14 10:26:08.851400,24.226,24.193,23.839,24.219,24.252,23.864
2022-04-14 10:26:19.207400,24.216,24.179,23.821,24.194,24.265,23.864
2022-04-14 10:26:29.561400,24.174,24.144,23.784,24.187,24.22,23.84
2022-04-14 10:26:39.917400,24.146,24.119,23.764,24.185,24.206,23.809
2022-04-14 10:26:50.276400,24.132,24.133,23.759,24.156,24.211,23.847
2022-04-14 10:27:00.631400,24.135,24.119,23.764,24.146,24.198,23.844
2022-04-14 10:27:10.985400,24.146,24.127,23.769,24.156,24.224,23.825
2022-04-14 10:27:21.342400,24.132,24.125,23.788,24.175,24.213,23.82
2022-04-14 10:27:32.990400,24.153,24.117,23.78,24.167,24.224,23.791
2022-04-14 10:27:43.345400,24.14,24.119,23.783,24.151,24.219,23.764
2022-04-14 10:27:53.699400,24.151,24.127,23.783,24.17,24.227,23.795
2022-04-14 10:28:04.054400,24.148,24.13,23.799,24.172,24.224,23.795
2022-04-14 10:28:14.410400,24.132,24.108,23.789,24.184,24.223,23.797
2022-04-14 10:28:24.765400,24.132,24.131,23.783,24.172,24.225,23.788
2022-04-14 10:28:35.120400,24.145,24.123,23.804,24.167,24.23,23.802
2022-04-14 10:28:45.477400,24.143,24.138,23.815,24.166,24.25,23.774
2022-04-14 10:28:55.834400,24.156,24.117,23.807,24.173,24.245,23.779
2022-04-14 10:29:06.191400,24.176,24.171,23.809,24.177,24.257,23.793
2022-04-14 10:29:17.980400,24.205,24.163,23.831,24.176,24.255,23.799
2022-04-14 10:29:28.335400,24.176,24.153,23.825,24.177,24.251,23.794
2022-04-14 10:29:38.690400,24.187,24.169,23.834,24.169,24.264,23.799
2022-04-14 10:29:49.045400,24.171,24.15,23.831,24.18,24.257,23.775
2022-04-14 10:29:59.399400,24.184,24.174,23.839,24.163,24.258,23.769
2022-04-14 10:30:09.753400,24.184,24.166,23.847,24.171,24.276,23.803
2022-04-14 10:30:20.108400,24.182,24.153,23.85,24.194,24.268,23.781
2022-04-14 10:30:30.463400,24.179,24.163,23.844,24.178,24.274,23.8
2022-04-14 10:30:40.818400,24.189,24.169,23.858,24.173,24.287,23.786
2022-04-14 10:30:51.173400,24.174,24.163,23.839,24.197,24.287,23.793
2022-04-14 10:31:02.938400,24.182,24.15,23.842,24.194,24.289,23.779
2022-04-14 10:31:13.294400,24.182,24.161,23.847,24.194,24.284,23.777
2022-04-14 10:31:23.649400,24.184,24.158,23.863,24.197,24.302,23.75
2022-04-14 10:31:34.004400,24.189,24.166,23.863,24.171,24.3,23.763
2022-04-14 10:31:44.359400,24.184,24.166,23.874,24.189,24.287,23.771
2022-04-14 10:31:54.714400,24.182,24.158,23.858,24.186,24.318,23.788
2022-04-14 10:32:05.068400,24.168,24.163,23.858,24.186,24.305,23.77
2022-04-14 10:32:15.423400,24.176,24.169,23.863,24.163,24.308,23.76
2022-04-14 10:32:25.779400,24.184,24.163,23.863,24.197,24.321,23.779
2022-04-14 10:32:36.135400,24.171,24.174,23.874,24.176,24.321,23.795
2022-04-14 10:32:47.794400,24.176,24.161,23.877,24.186,24.316,23.779
2022-04-14 10:32:58.151400,24.15,24.148,23.861,24.172,24.312,23.768
2022-04-14 10:33:08.505400,24.182,24.166,23.879,24.197,24.334,23.779
2022-04-14 10:33:18.859400,24.171,24.177,23.877,24.173,24.329,23.773
2022-04-14 10:33:29.213400,24.176,24.156,23.877,24.197,24.321,23.794
2022-04-14 10:33:39.569400,24.189,24.163,23.877,24.192,24.323,23.793
2022-04-14 10:33:49.923400,24.176,24.169,23.882,24.181,24.331,23.782
2022-04-14 10:34:00.278400,24.163,24.148,23.879,24.197,24.339,23.776
2022-04-14 10:34:10.633400,24.182,24.163,23.871,24.184,24.334,23.798
2022-04-14 10:34:20.989400,24.179,24.15,23.877,24.202,24.347,23.797
2022-04-14 10:34:32.673400,24.176,24.171,23.877,24.199,24.339,23.794
2022-04-14 10:34:43.038400,24.176,24.171,23.895,24.199,24.355,23.783
2022-04-14 10:34:53.393400,24.179,24.169,23.893,24.184,24.35,23.759
2022-04-14 10:35:03.747400,24.176,24.166,23.89,24.189,24.344,23.775
2022-04-14 10:35:14.104400,24.176,24.187,23.887,24.181,24.358,23.779
2022-04-14 10:35:24.459400,24.161,24.171,23.887,24.176,24.352,23.8
2022-04-14 10:35:34.817400,24.171,24.163,23.893,24.186,24.373,23.773
2022-04-14 10:35:45.172400,24.161,24.161,23.887,24.207,24.36,23.779
2022-04-14 10:35:55.527400,24.171,24.161,23.912,24.192,24.371,23.783
2022-04-14 10:36:05.887400,24.187,24.169,23.895,24.202,24.379,23.788
2022-04-14 10:36:17.617400,24.166,24.171,23.906,24.181,24.368,23.796
2022-04-14 10:36:27.973400,24.174,24.177,23.904,24.202,24.373,23.804
2022-04-14 10:36:38.331400,24.166,24.179,23.909,24.192,24.384,23.801
2022-04-14 10:36:48.686400,24.174,24.177,23.925,24.189,24.376,23.793
2022-04-14 10:36:59.041400,24.187,24.169,23.92,24.192,24.376,23.796
2022-04-14 10:37:09.396400,24.182,24.166,23.928,24.199,24.373,23.793
2022-04-14 10:37:19.752400,24.176,24.169,23.917,24.175,24.393,23.804
2022-04-14 10:37:30.107400,24.163,24.174,23.925,24.202,24.402,23.794
2022-04-14 10:37:40.462400,24.182,24.192,23.925,24.192,24.405,23.802
2022-04-14 10:37:50.818400,24.197,24.169,23.901,24.217,24.411,23.786
2022-04-14 10:38:02.516400,24.179,24.19,23.914,24.197,24.423,23.775
2022-04-14 10:38:12.870400,24.153,24.157,23.904,24.209,24.4,23.795
2022-04-14 10:38:23.226400,24.15,24.158,23.894,24.187,24.415,23.83
2022-04-14 10:38:33.581400,24.13,24.142,23.89,24.188,24.393,23.819
2022-04-14 10:38:43.936400,24.169,24.183,23.91,24.181,24.406,23.822
2022-04-14 10:38:54.291400,24.132,24.149,23.909,24.188,24.406,23.833
2022-04-14 10:39:04.647400,24.146,24.143,23.904,24.175,24.389,23.825
2022-04-14 10:39:15.001400,24.13,24.125,23.891,24.175,24.402,23.794
2022-04-14 10:39:25.357400,24.125,24.148,23.88,24.188,24.405,23.814
2022-04-14 10:39:35.712400,24.122,24.14,23.896,24.177,24.413,23.804
2022-04-14 10:39:47.493400,24.132,24.135,23.901,24.18,24.421,23.82
2022-04-14 10:39:57.848400,24.119,24.13,23.896,24.18,24.402,23.801
2022-04-14 10:40:08.204400,24.114,24.148,23.907,24.188,24.423,23.785
2022-04-14 10:40:18.560400,24.125,24.151,23.893,24.185,24.408,23.77
2022-04-14 10:40:28.916400,24.122,24.127,23.907,24.183,24.426,23.805
2022-04-14 10:40:39.272400,24.125,24.133,23.904,24.183,24.413,23.792
2022-04-14 10:40:49.632400,24.114,24.138,23.909,24.18,24.436,23.821
2022-04-14 10:40:59.988400,24.13,24.135,23.907,24.201,24.423,23.808
2022-04-14 10:41:10.343400,24.112,24.14,23.899,24.196,24.41,23.811
2022-04-14 10:41:20.699400,24.119,24.138,23.907,24.196,24.415,23.815
2022-04-14 10:41:32.493400,24.104,24.146,23.904,24.191,24.426,23.827
2022-04-14 10:41:42.848400,24.122,24.143,23.909,24.191,24.423,23.847
2022-04-14 10:41:53.205400,24.117,24.133,23.915,24.193,24.423,23.838
2022-04-14 10:42:03.562400,24.119,24.142,23.919,24.192,24.438,23.838
2022-04-14 10:42:13.920400,24.125,24.146,23.926,24.183,24.434,23.841
2022-04-14 10:42:24.275400,24.14,24.134,23.932,24.189,24.435,23.825
2022-04-14 10:42:34.630400,24.156,24.165,23.947,24.232,24.445,23.83
2022-04-14 10:42:44.984400,24.182,24.2,23.961,24.249,24.47,23.822
2022-04-14 10:42:55.339400,24.236,24.249,24.025,24.288,24.506,23.825
2022-04-14 10:43:05.694400,24.236,24.231,24.014,24.267,24.506,23.813
2022-04-14 10:43:17.506400,24.231,24.273,23.999,24.283,24.504,23.807
2022-04-14 10:43:27.862400,24.246,24.254,24.02,24.288,24.522,23.845
2022-04-14 10:43:38.217400,24.241,24.249,24.025,24.269,24.514,23.85
2022-04-14 10:43:48.572400,24.246,24.252,24.02,24.28,24.514,23.852
2022-04-14 10:43:58.926400,24.228,24.252,24.007,24.29,24.509,23.854
2022-04-14 10:44:09.281400,24.236,24.262,24.012,24.267,24.504,23.849
2022-04-14 10:44:19.636400,24.231,24.254,24.025,24.272,24.504,23.849
2022-04-14 10:44:29.990400,24.236,24.236,23.991,24.296,24.519,23.859
2022-04-14 10:44:40.344400,24.236,24.254,24.03,24.293,24.512,23.849
2022-04-14 10:44:50.700400,24.238,24.249,24.017,24.28,24.535,23.843
2022-04-14 10:45:02.479400,24.225,24.254,24.025,24.29,24.533,23.841
2022-04-14 10:45:12.834400,24.244,24.239,24.02,24.277,24.519,23.835
2022-04-14 10:45:23.188400,24.244,24.252,24.022,24.29,24.512,23.82
2022-04-14 10:45:33.543400,24.249,24.265,24.009,24.285,24.512,23.827
2022-04-14 10:45:43.898400,24.233,24.239,24.009,24.271,24.495,23.785
2022-04-14 10:45:54.253400,24.218,24.231,23.984,24.264,24.527,23.796
2022-04-14 10:46:04.609400,24.205,24.234,23.979,24.272,24.501,23.75
2022-04-14 10:46:14.965400,24.179,24.213,23.968,24.255,24.506,23.737
2022-04-14 10:46:25.320400,24.182,24.205,23.965,24.24,24.491,23.723
2022-04-14 10:46:35.676400,24.187,24.203,23.965,24.25,24.504,23.728
2022-04-14 10:46:47.458400,24.176,24.197,23.952,24.237,24.501,23.681
2022-04-14 10:46:57.813400,24.174,24.203,23.949,24.266,24.48,23.678
2022-04-14 10:47:08.169400,24.182,24.21,23.957,24.253,24.475,23.619
2022-04-14 10:47:18.523400,24.197,24.205,23.938,24.25,24.472,23.595
2022-04-14 10:47:28.879400,24.187,24.203,23.954,24.271,24.472,23.573
2022-04-14 10:47:39.234400,24.176,24.2,23.952,24.248,24.472,23.546
2022-04-14 10:47:49.589400,24.179,24.203,23.933,24.24,24.454,23.56
2022-04-14 10:47:59.944400,24.184,24.197,23.941,24.242,24.454,23.541
2022-04-14 10:48:10.299400,24.195,24.174,23.93,24.245,24.444,23.508
2022-04-14 10:48:20.653400,24.168,24.187,23.919,24.237,24.444,23.49
2022-04-14 10:48:32.349400,24.168,24.189,23.901,24.245,24.433,23.502
2022-04-14 10:48:42.705400,24.182,24.176,23.919,24.25,24.415,23.461
2022-04-14 10:48:53.061400,24.184,24.185,23.904,24.241,24.424,23.456
2022-04-14 10:49:03.417400,24.158,24.182,23.898,24.227,24.396,23.412
2022-04-14 10:49:13.773400,24.205,24.226,23.932,24.254,24.435,23.404
2022-04-14 10:49:24.128400,24.267,24.247,23.949,24.272,24.473,23.394
2022-04-14 10:49:34.484400,24.254,24.24,23.946,24.273,24.43,23.377
2022-04-14 10:49:44.840400,24.257,24.219,23.948,24.284,24.433,23.364
2022-04-14 10:49:55.195400,24.244,24.212,23.915,24.267,24.391,23.332
2022-04-14 10:50:05.551400,24.215,24.205,23.907,24.243,24.399,23.315
2022-04-14 10:50:17.352400,24.275,24.249,23.929,24.286,24.405,23.302
2022-04-14 10:50:27.718400,24.288,24.262,23.937,24.305,24.422,23.283
2022-04-14 10:50:38.072400,24.243,24.229,23.909,24.253,24.4,23.264
2022-04-14 10:50:48.426400,24.254,24.238,23.924,24.268,24.386,23.22
2022-04-14 10:50:58.781400,24.254,24.22,23.899,24.26,24.368,23.163
2022-04-14 10:51:09.137400,24.282,24.23,23.921,24.266,24.375,23.095
2022-04-14 10:51:19.492400,24.274,24.238,23.918,24.258,24.364,23.045
2022-04-14 10:51:29.848400,24.267,24.225,23.867,24.249,24.352,23.064
2022-04-14 10:51:40.204400,24.23,24.203,23.863,24.23,24.342,23.048
2022-04-14 10:51:50.558400,24.228,24.195,23.839,24.217,24.313,23.04
2022-04-14 10:52:02.170400,24.168,24.147,23.792,24.188,24.281,23.034
2022-04-14 10:52:12.528400,24.199,24.147,23.783,24.191,24.294,23.005
2022-04-14 10:52:22.884400,24.186,24.126,23.76,24.172,24.252,22.969
2022-04-14 10:52:33.240400,24.155,24.099,23.735,24.154,24.232,22.918
2022-04-14 10:52:43.596400,24.186,24.116,23.755,24.172,24.228,22.905
2022-04-14 10:52:53.951400,24.116,24.082,23.69,24.122,24.194,22.859
2022-04-14 10:53:04.306400,24.116,24.064,23.662,24.128,24.179,22.832
2022-04-14 10:53:14.660400,24.111,24.064,23.671,24.109,24.171,22.821
