Data,Contatto Connettore Interno,Cavo Connettore Interno,Contatto Connettore Esterno,Cavo Splitter,Tamb Interna,Tamb Esterna
2022-04-14 14:34:55.052400,32.783,33.7,31.885,31.841,27.175,23.959
2022-04-14 14:35:05.879400,32.814,33.723,31.895,31.867,27.169,23.98
2022-04-14 14:35:18.511400,32.83,33.72,31.89,31.856,27.169,24.001
2022-04-14 14:35:28.866400,32.794,33.663,31.892,31.858,27.149,24.017
2022-04-14 14:35:39.221400,32.801,33.663,31.893,31.841,27.131,24.009
2022-04-14 14:35:49.576400,32.817,33.695,31.892,31.869,27.095,23.999
2022-04-14 14:35:59.931400,32.791,33.684,31.882,31.854,27.099,23.996
2022-04-14 14:36:10.287400,32.786,33.644,31.888,31.838,27.07,24.0
2022-04-14 14:36:20.643400,32.786,33.634,31.901,31.828,27.052,23.983
2022-04-14 14:36:31.000400,32.78,33.631,31.875,31.83,27.041,23.995
2022-04-14 14:36:41.356400,32.775,33.631,31.888,31.835,27.026,23.974
2022-04-14 14:36:53.152400,32.775,33.634,31.893,31.814,27.002,23.979
2022-04-14 14:37:03.507400,32.778,33.65,31.851,31.82,27.005,23.993
2022-04-14 14:37:13.862400,32.765,33.642,31.859,31.83,27.013,23.998
2022-04-14 14:37:24.217400,32.765,33.637,31.809,31.809,27.028,24.013
2022-04-14 14:37:34.572400,32.788,33.647,31.838,31.801,27.002,24.055
2022-04-14 14:37:44.927400,32.786,33.655,31.856,31.814,27.018,24.065
2022-04-14 14:37:55.281400,32.78,33.655,31.835,31.807,27.028,24.042
2022-04-14 14:38:05.636400,32.77,33.642,31.838,31.833,27.031,24.057
2022-04-14 14:38:16.004400,32.759,33.642,31.84,31.814,27.005,24.047
2022-04-14 14:38:26.359400,32.759,33.642,31.817,31.825,27.041,24.042
2022-04-14 14:38:38.072400,32.762,33.668,31.814,31.825,27.102,24.018
2022-04-14 14:38:48.429400,32.754,33.65,31.822,31.828,27.083,24.036
2022-04-14 14:38:58.786400,32.767,33.655,31.804,31.838,27.096,24.047
2022-04-14 14:39:09.141400,32.765,33.65,31.806,31.825,27.099,24.034
2022-04-14 14:39:19.498400,32.778,33.639,31.817,31.814,27.073,24.018
2022-04-14 14:39:29.856400,32.767,33.626,31.809,31.82,27.07,24.026
2022-04-14 14:39:40.211400,32.77,33.644,31.804,31.83,27.096,24.065
2022-04-14 14:39:50.567400,32.752,33.626,31.833,31.82,27.081,24.029
2022-04-14 14:40:00.923400,32.749,33.652,31.812,31.812,27.068,24.021
2022-04-14 14:40:11.281400,32.757,33.665,31.822,31.825,27.083,24.026
2022-04-14 14:40:22.973400,32.744,33.647,31.809,31.817,27.112,24.005
2022-04-14 14:40:33.328400,32.767,33.637,31.806,31.822,27.099,24.015
2022-04-14 14:40:43.683400,32.757,33.658,31.82,31.817,27.125,24.002
2022-04-14 14:40:54.037400,32.757,33.658,31.806,31.825,27.099,24.021
2022-04-14 14:41:04.393400,32.754,33.647,31.817,31.835,27.12,24.0
2022-04-14 14:41:14.749400,32.759,33.644,31.759,31.828,27.149,24.015
2022-04-14 14:41:25.103400,32.762,33.65,31.738,31.828,27.136,24.034
2022-04-14 14:41:35.459400,32.754,33.668,31.73,31.843,27.144,24.044
2022-04-14 14:41:45.815400,32.744,33.65,31.749,31.838,27.131,24.07
2022-04-14 14:41:56.170400,32.752,33.66,31.757,31.828,27.154,24.081
2022-04-14 14:42:07.895400,32.741,33.663,31.754,31.822,27.167,24.076
2022-04-14 14:42:18.254400,32.736,33.651,31.743,31.828,27.171,24.085
2022-04-14 14:42:28.609400,32.746,33.634,31.742,31.834,27.17,24.107
2022-04-14 14:42:38.963400,32.757,33.627,31.728,31.812,27.161,24.11
2022-04-14 14:42:49.319400,32.754,33.654,31.785,31.825,27.184,24.101
2022-04-14 14:42:59.674400,32.77,33.66,31.768,31.823,27.138,24.083
2022-04-14 14:43:10.031400,32.809,33.692,31.826,31.866,27.155,24.093
2022-04-14 14:43:20.386400,32.801,33.654,31.793,31.843,27.133,24.068
2022-04-14 14:43:30.741400,32.783,33.643,31.836,31.847,27.109,24.065
2022-04-14 14:43:41.097400,32.785,33.636,31.801,31.858,27.093,24.04
2022-04-14 14:43:52.855400,32.793,33.654,31.827,31.866,27.091,24.038
2022-04-14 14:44:03.225400,32.793,33.67,31.824,31.864,27.086,24.059
2022-04-14 14:44:13.582400,32.783,33.673,31.837,31.856,27.083,24.032
2022-04-14 14:44:23.938400,32.809,33.681,31.837,31.856,27.083,24.035
2022-04-14 14:44:34.295400,32.793,33.652,31.843,31.848,27.096,24.04
2022-04-14 14:44:44.651400,32.814,33.665,31.845,31.851,27.096,24.045
2022-04-14 14:44:55.007400,32.785,33.662,31.85,31.845,27.117,24.019
2022-04-14 14:45:05.367400,32.777,33.673,31.837,31.845,27.122,24.014
